month,date,ticker,type,ret_z,volz,why
1962-04,1962-04-03,IBM,volume_shock,-2.3161837369263845,2.7590544463642677,volz>2.5; range_pct>95%
1962-04,1962-04-03,KO,,-2.1381857248847544,0.36436768983824885,range_pct>95%
1962-04,1962-04-11,IBM,,-1.2538077192368002,0.781583833524353,range_pct>95%
1962-04,1962-04-11,KO,,-1.6014308752582966,-0.41225987661670144,range_pct>95%
1962-04,1962-04-12,DIS,crash,-3.3080297626952433,2.343085205830919,|ret_z|>2.5; ; range_pct>95%
1962-04,1962-04-13,KO,,2.049280927946772,1.3695086057346109,range_pct>95%
1962-04,1962-04-26,IBM,,-2.40764669888632,1.0526538910696763,range_pct>95%
1962-04,1962-04-27,IBM,crash,-2.5015194100779055,1.5379237556526661,|ret_z|>2.5; ; range_pct>95%
1962-04,1962-04-30,DIS,crash,-2.618025742461471,0.012719023089025385,|ret_z|>2.5
1962-04,1962-04-30,IBM,crash,-4.775140263195497,1.6992285653609884,|ret_z|>2.5; ; range_pct>95%
1962-04,1962-04-30,KO,crash,-2.860306461084317,0.8956138232163099,|ret_z|>2.5; ; range_pct>95%
1962-05,1962-05-01,IBM,,1.476628149330591,2.127899732953555,range_pct>95%
1962-05,1962-05-08,DIS,,-1.383139971048501,0.24938555806377483,range_pct>95%
1962-05,1962-05-11,DIS,,-1.3558409794895772,0.9806560233970971,range_pct>95%
1962-05,1962-05-11,IBM,,-0.8733893842493233,0.9339934446342987,range_pct>95%
1962-05,1962-05-11,KO,,-2.293158126754946,1.7558034057612275,range_pct>95%
1962-05,1962-05-14,DIS,spike,3.5718401541686524,0.7889552840836295,|ret_z|>2.5; ; range_pct>95%
1962-05,1962-05-14,KO,,-1.1237860124361303,2.0167513795550387,range_pct>95%
1962-05,1962-05-15,KO,spike,3.2384070367235966,1.4881349729748599,|ret_z|>2.5; ; range_pct>95%
1962-05,1962-05-23,DIS,,-2.4782836952859313,1.1332656713846108,range_pct>95%
1962-05,1962-05-23,IBM,crash,-2.6542691036100075,1.216981949027157,|ret_z|>2.5; ; range_pct>95%
1962-05,1962-05-24,IBM,,-2.2643454797091813,1.6241988811999053,range_pct>95%
1962-05,1962-05-28,DIS,volume_shock,-0.28930579058777905,2.915014229746453,volz>2.5
1962-05,1962-05-28,IBM,crash,-4.441832834419448,1.358030151250122,|ret_z|>2.5; ; range_pct>95%
1962-05,1962-05-28,KO,crash,-2.957641770544733,1.8349509373293338,|ret_z|>2.5; ; range_pct>95%
1962-05,1962-05-29,DIS,crash,-3.5277662541818873,2.45927316924659,|ret_z|>2.5; ; range_pct>95%
1962-05,1962-05-29,IBM,spike,3.068594244896602,1.130437434330769,|ret_z|>2.5
1962-05,1962-05-29,KO,,1.5005117137120978,2.2645904785904514,range_pct>95%
1962-05,1962-05-31,DIS,spike,4.793554805562114,1.7121487879649446,|ret_z|>2.5
1962-06,1962-06-04,DIS,,-2.3338232978046767,0.04138387923686344,range_pct>95%
1962-06,1962-06-04,IBM,crash,-2.54705605058935,0.09153161764140297,|ret_z|>2.5
1962-06,1962-06-04,KO,crash,-3.736279403155678,0.8109367470151733,|ret_z|>2.5; ; range_pct>95%
1962-06,1962-06-05,KO,,2.0017200137572586,0.3574352757306264,range_pct>95%
1962-06,1962-06-14,DIS,crash,-2.967457916455152,0.8058590347934357,|ret_z|>2.5; ; range_pct>95%
1962-06,1962-06-14,IBM,,-1.6743868206247565,1.5200375753998172,range_pct>95%
1962-06,1962-06-15,DIS,spike,2.9226230771541357,0.7290759339074228,|ret_z|>2.5; ; range_pct>95%
1962-06,1962-06-15,IBM,spike,3.445988869931038,1.3108648995510763,|ret_z|>2.5; ; range_pct>95%
1962-09,1962-09-26,IBM,,-2.0675759982355433,0.6298562368003717,range_pct>95%
1962-10,1962-10-01,KO,,-1.0672700463604237,1.4599848543449652,range_pct>95%
1962-10,1962-10-10,IBM,,-1.0400350763137722,0.31642590791289527,range_pct>95%
1962-10,1962-10-19,KO,crash + volume_shock,-2.8713096600693215,2.865749888344043,|ret_z|>2.5; volz>2.5; range_pct>95%
1962-10,1962-10-22,DIS,,-2.321619232143605,1.606377177884506,range_pct>95%
1962-10,1962-10-23,DIS,crash,-3.024454728611639,1.6000191908077963,|ret_z|>2.5; ; range_pct>95%
1962-10,1962-10-23,KO,crash,-2.571321957202508,0.9825797937840497,|ret_z|>2.5; ; range_pct>95%
1962-10,1962-10-24,DIS,,2.0538477830502164,2.2190001079041726,range_pct>95%
1962-10,1962-10-24,IBM,,1.640765170641067,1.8207237559452487,range_pct>95%
1962-10,1962-10-29,DIS,spike,3.5259219097502883,1.0988650241517457,|ret_z|>2.5
1962-10,1962-10-30,DIS,spike,2.612953557654044,0.9262032544106309,|ret_z|>2.5; ; range_pct>95%
1962-11,1962-11-02,IBM,,0.8119301899498874,1.2255586823201319,range_pct>95%
1962-11,1962-11-02,KO,,1.6303049525976243,1.923701060888896,range_pct>95%
1962-11,1962-11-30,DIS,volume_shock,-1.6328550069822116,2.618610560539816,volz>2.5; range_pct>95%
1962-11,1962-11-30,KO,spike,3.10071704768766,0.6462187764609677,|ret_z|>2.5; ; range_pct>95%
1963-02,1963-02-28,KO,,-2.2831372713979987,0.8693171109983733,range_pct>95%
1963-03,1963-03-01,KO,,1.402957515124643,1.4438368757058717,range_pct>95%
1963-04,1963-04-04,IBM,volume_shock,1.800061649331481,2.5679059766733214,volz>2.5
1963-04,1963-04-05,IBM,spike + volume_shock,3.28810938653551,2.549168751023584,|ret_z|>2.5; volz>2.5; range_pct>95%
1963-04,1963-04-09,IBM,,-1.441306530485745,1.3864475953662048,range_pct>95%
1963-04,1963-04-10,IBM,,-0.7786059878241335,0.6839525647330917,range_pct>95%
1963-04,1963-04-11,IBM,,0.839968198466441,1.2728953455111933,range_pct>95%
1963-04,1963-04-19,KO,volume_shock,-0.13814518983239213,2.956955841602586,volz>2.5
1963-04,1963-04-29,IBM,,-0.5491843550963769,-0.8973586958202006,range_pct>95%
1963-04,1963-04-30,IBM,,-1.3279882318172902,0.1979333215333289,range_pct>95%
1963-04,1963-04-30,KO,volume_shock,-0.04979821980043146,2.946749338717214,volz>2.5
